Province,Region,Year,Birthrate
Shandong,East China,2009,11.7
Henan,South Central China,2009,11.45
Hubei,South Central China,2009,9.48
Hunan,South Central China,2009,13.05
Guangdong,South Central China,2009,11.78
Guangxi,South Central China,2009,14.17
Hainan,South Central China,2009,14.66
Chongqing,Southwest China,2009,9.9
Sichuan,Southwest China,2009,9.15
Guizhou,Southwest China,2009,13.65
Yunnan,Southwest China,2009,12.53
Tibet,Southwest China,2009,15.31
Shaanxi,Northwest China,2009,10.24
Gansu,Northwest China,2009,13.32
Qinghai,Northwest China,2009,14.51
Ningxia,Northwest China,2009,14.38
Xinjiang,Northwest China,2009,15.99
Beijing,North China,2008,8.17
Tianjin,North China,2008,8.13
Hebei,North China,2008,13.04
Shanxi,North China,2008,11.32
Inner Mongolia,North China,2008,9.81
Liaoning,Northeast China,2008,6.32
Jilin,Northeast China,2008,6.65
Heilongjiang,Northeast China,2008,7.91
Shanghai,East China,2008,8.89
Jiangsu,East China,2008,9.34
Zhejiang,East China,2008,10.2
Anhui,East China,2008,13.05
Fujian,East China,2008,12.2
Jiangxi,East China,2008,13.92
Shandong,East China,2008,11.25
Henan,South Central China,2008,11.42
Hubei,South Central China,2008,9.21
Hunan,South Central China,2008,12.68
Guangdong,South Central China,2008,11.8
Guangxi,South Central China,2008,14.4
Hainan,South Central China,2008,14.71
Chongqing,Southwest China,2008,10.1
Sichuan,Southwest China,2008,9.54
Guizhou,Southwest China,2008,13.49
Yunnan,Southwest China,2008,12.63
Tibet,Southwest China,2008,15.5
Shaanxi,Northwest China,2008,10.29
Gansu,Northwest China,2008,13.22
Qinghai,Northwest China,2008,14.49
Ningxia,Northwest China,2008,14.31
Xinjiang,Northwest China,2008,16.05
Beijing,North China,2007,8.32
Tianjin,North China,2007,7.91
Hebei,North China,2007,13.33
Shanxi,North China,2007,11.3
Inner Mongolia,North China,2007,10.21
Liaoning,Northeast China,2007,6.89
Jilin,Northeast China,2007,7.55
Heilongjiang,Northeast China,2007,7.88
Shanghai,East China,2007,9.07
Jiangsu,East China,2007,9.37
Zhejiang,East China,2007,10.38
Anhui,East China,2007,12.75
Fujian,East China,2007,11.9
Jiangxi,East China,2007,13.86
Shandong,East China,2007,11.11
Henan,South Central China,2007,11.26
Hubei,South Central China,2007,9.19
Hunan,South Central China,2007,11.96
Guangdong,South Central China,2007,11.96
Guangxi,South Central China,2007,14.19
Hainan,South Central China,2007,14.62
Chongqing,Southwest China,2007,10.1
Sichuan,Southwest China,2007,9.21
Guizhou,Southwest China,2007,13.28
Yunnan,Southwest China,2007,13.08
Tibet,Southwest China,2007,16.4
Shaanxi,Northwest China,2007,10.21
Gansu,Northwest China,2007,13.14
Qinghai,Northwest China,2007,14.93
Ningxia,Northwest China,2007,14.8
Xinjiang,Northwest China,2007,16.79
Beijing,North China,2006,6.26
Tianjin,North China,2006,7.67
Hebei,North China,2006,12.82
Shanxi,North China,2006,11.48
Inner Mongolia,North China,2006,9.87
Liaoning,Northeast China,2006,6.4
Jilin,Northeast China,2006,7.67
Heilongjiang,Northeast China,2006,7.57
Shanghai,East China,2006,7.47
Jiangsu,East China,2006,9.36
Zhejiang,East China,2006,10.29
Anhui,East China,2006,12.6
Fujian,East China,2006,12
Jiangxi,East China,2006,13.8
Shandong,East China,2006,11.6
Henan,South Central China,2006,11.59
Hubei,South Central China,2006,9.08
Hunan,South Central China,2006,11.92
Guangdong,South Central China,2006,11.78
Guangxi,South Central China,2006,14.44
Hainan,South Central China,2006,14.59
Chongqing,Southwest China,2006,9.9
Sichuan,Southwest China,2006,9.14
Guizhou,Southwest China,2006,13.97
Yunnan,Southwest China,2006,13.2
Tibet,Southwest China,2006,17.4
Shaanxi,Northwest China,2006,10.19
Gansu,Northwest China,2006,12.86
Qinghai,Northwest China,2006,15.24
Ningxia,Northwest China,2006,15.53
Xinjiang,Northwest China,2006,15.79
Beijing,North China,2005,6.29
Tianjin,North China,2005,7.44
Hebei,North China,2005,12.84
Shanxi,North China,2005,12.02
Inner Mongolia,North China,2005,10.08
Liaoning,Northeast China,2005,7.01
Jilin,Northeast China,2005,7.89
Heilongjiang,Northeast China,2005,7.87
Shanghai,East China,2005,7.04
Jiangsu,East China,2005,9.24
Zhejiang,East China,2005,11.1
Anhui,East China,2005,12.43
Fujian,East China,2005,11.6
Jiangxi,East China,2005,13.79
Shandong,East China,2005,12.14
Henan,South Central China,2005,11.55
Hubei,South Central China,2005,8.74
Hunan,South Central China,2005,11.9
Guangdong,South Central China,2005,11.7
Guangxi,South Central China,2005,14.26
Hainan,South Central China,2005,14.65
Chongqing,Southwest China,2005,9.4
Sichuan,Southwest China,2005,9.7
Guizhou,Southwest China,2005,14.59
Yunnan,Southwest China,2005,14.72
Tibet,Southwest China,2005,17.94
Shaanxi,Northwest China,2005,10.02
Gansu,Northwest China,2005,12.59
Qinghai,Northwest China,2005,15.7
Ningxia,Northwest China,2005,15.93
Xinjiang,Northwest China,2005,16.42
Beijing,North China,2004,6.1
Tianjin,North China,2004,7.31
Hebei,North China,2004,11.98
Shanxi,North China,2004,12.36
Inner Mongolia,North China,2004,9.53
Liaoning,Northeast China,2004,6.51
Jilin,Northeast China,2004,7.39
Heilongjiang,Northeast China,2004,7.27
Shanghai,East China,2004,6
Jiangsu,East China,2004,9.45
Zhejiang,East China,2004,10.71
Anhui,East China,2004,11.62
Fujian,East China,2004,11.58
Jiangxi,East China,2004,13.61
Shandong,East China,2004,12.5
Henan,South Central China,2004,11.67
Hubei,South Central China,2004,8.43
Hunan,South Central China,2004,11.89
Guangdong,South Central China,2004,13.13
Guangxi,South Central China,2004,13.32
Hainan,South Central China,2004,14.77
Chongqing,Southwest China,2004,9.45
Sichuan,Southwest China,2004,9.05
Guizhou,Southwest China,2004,15.08
Yunnan,Southwest China,2004,15.6
Tibet,Southwest China,2004,17.4
Shaanxi,Northwest China,2004,10.59
Gansu,Northwest China,2004,12.43
Qinghai,Northwest China,2004,16.32
