Province,Region,Year,Birthrate,Wage,GRP,CPI
Zhejiang,East China,2011,9.47,45780,109,105.4
Anhui,East China,2011,12.23,40640,113.4,105.6
Fujian,East China,2011,11.41,38989,112.3,105.3
Jiangxi,East China,2011,13.48,34102,112.4,105.2
Shandong,East China,2011,11.5,37992,110.7,105
Henan,South Central China,2011,11.56,34203,112,105.6
Hubei,South Central China,2011,10.39,37134,114.1,105.8
Hunan,South Central China,2011,13.35,35520,112.8,105.5
Guangdong,South Central China,2011,10.45,45152,110.2,105.3
Guangxi,South Central China,2011,13.71,34064,111.5,105.9
Hainan,South Central China,2011,14.72,36716,112.2,106.1
Chongqing,Southwest China,2011,9.88,40042,116.4,105.3
Sichuan,Southwest China,2011,9.79,37924,115,105.3
Guizhou,Southwest China,2011,13.31,37331,115.4,105.1
Yunnan,Southwest China,2011,12.71,35031,113.7,104.9
Tibet,Southwest China,2011,15.39,55845,112.7,105
Shaanxi,Northwest China,2011,9.75,39043,113.1,105.7
Gansu,Northwest China,2011,12.08,32724,113.2,105.9
Qinghai,Northwest China,2011,14.43,42493,112.5,106.1
Ningxia,Northwest China,2011,13.65,44574,112.1,106.3
Xinjiang,Northwest China,2011,14.99,38820,112.3,105.9
Beijing,North China,2010,7.48,65683,110.4,102.4
Tianjin,North China,2010,8.18,52963,114.4,103.5
Hebei,North China,2010,13.22,32306,109.2,103.1
Shanxi,North China,2010,10.68,33544,110.8,103
Inner Mongolia,North China,2010,9.3,35507,114.1,103.2
Liaoning,Northeast China,2010,6.68,35057,110.3,103
Jilin,Northeast China,2010,7.91,29399,110.4,103.7
Heilongjiang,Northeast China,2010,7.35,29603,111.7,103.9
Shanghai,East China,2010,7.05,71874,110.2,103.1
Jiangsu,East China,2010,9.73,40505,112.7,103.8
Zhejiang,East China,2010,10.27,41505,111.9,103.8
Anhui,East China,2010,12.7,34341,114.3,103.1
Fujian,East China,2010,11.27,32647,113.9,103.2
Jiangxi,East China,2010,13.72,29092,114,103
Shandong,East China,2010,11.65,33729,110.4,102.9
Henan,South Central China,2010,11.52,30303,112.4,103.5
Hubei,South Central China,2010,10.36,32588,114.7,102.9
Hunan,South Central China,2010,13.1,30483,114.6,103.1
Guangdong,South Central China,2010,11.18,40358,112.5,103.1
Guangxi,South Central China,2010,14.13,31842,111.7,103
Hainan,South Central China,2010,14.71,31025,116,104.8
Chongqing,Southwest China,2010,9.17,35326,117.2,103.2
Sichuan,Southwest China,2010,8.93,33112,115.1,103.2
Guizhou,Southwest China,2010,13.96,31458,112.8,102.9
Yunnan,Southwest China,2010,13.1,30177,112.3,103.7
Tibet,Southwest China,2010,15.8,54397,112.3,102.2
Shaanxi,Northwest China,2010,9.73,34299,113.9,104
Gansu,Northwest China,2010,12.05,29588,111.8,104.1
Qinghai,Northwest China,2010,14.94,37182,113.3,105.4
Ningxia,Northwest China,2010,14.14,39144,112.5,104.1
Xinjiang,Northwest China,2010,15.99,32361,110.6,104.3
Beijing,North China,2009,8.06,58140,110,98.5
Tianjin,North China,2009,8.3,44992,113.8,99
Hebei,North China,2009,12.93,28383,108.1,99.3
Shanxi,North China,2009,10.87,28469,105.5,99.6
Inner Mongolia,North China,2009,9.57,30699,116,99.7
Liaoning,Northeast China,2009,6.06,31104,110.4,100
Jilin,Northeast China,2009,6.69,26230,110.3,100.1
Heilongjiang,Northeast China,2009,7.48,26535,110.1,100.2
Shanghai,East China,2009,8.64,63549,108.4,99.6
Jiangsu,East China,2009,9.55,35890,112.4,99.6
Zhejiang,East China,2009,10.22,37395,109,98.5
Anhui,East China,2009,13.07,29658,113.1,99.1
Fujian,East China,2009,12.2,28666,112.3,98.2
Jiangxi,East China,2009,13.87,24696,113.2,99.3
